north(m) east(m),
817880.6801 836645.1961,
817885.4881 836644.4388,
817890.0904 836643.5663,
817894.6927 836642.6937,
817899.2949 836641.8212,
817903.8972 836640.9486,
817908.4995 836640.0761,
817913.2846 836639.2955,
817918.0697 836638.5149,
817922.8549 836637.7343,
817927.64 836636.9537,
817932.4251 836636.1731,
817937.2102 836635.3925,
817941.9953 836634.6119,
817946.7805 836633.8314,
817951.5656 836633.0508,
817956.3507 836632.2702,
817961.1358 836631.4896,
817965.9209 836630.709,
817970.706 836629.9284,
817975.4912 836629.1478,
817980.2763 836628.3672,
817985.0614 836627.5866,
817989.4527 836626.8452,
817993.8439 836626.1039,
817998.2352 836625.3625,
818001.9556 836624.5448,
818005.676 836623.7271,
818009.3964 836622.9093,
818013.1168 836622.0916,
818017.7087 836620.7501,
818022.3006 836619.4086,
818026.8925 836618.0671,
818031.4844 836616.7256,
818036.0763 836615.3841,
818040.6682 836614.0426,
818045.2601 836612.7011,
818049.8159 836611.093,
818054.3717 836609.485,
818058.9276 836607.8769,
818063.4834 836606.2689,
818068.0392 836604.6608,
818071.739 836603.506,
818075.4388 836602.3511,
818079.1385 836601.1963,
818082.8383 836600.0414,
818086.6878 836599.3998,
818090.5373 836598.7583,
818094.3868 836598.1167,
818098.2363 836597.4751,
818102.5819 836597.15,
818106.9276 836596.825,
818111.2732 836596.4999,
818115.6189 836596.1749,
818119.9645 836595.8498,
818124.8768 836596.3132,
818129.7891 836596.7766,
818132.9369 836597.0736,
818136.0847 836597.3705,
818139.779 836597.719,
818143.4732 836598.0676,
818147.1675 836598.4161,
818150.8301 836599.1174,
818154.4927 836599.8186,
818158.247 836597.5226,
818162.0012 836595.2265,
818165.7555 836592.9305,
818165.7555 836592.9305,
818169.7546 836591.1309,
818172.554 836590.731,
818175.3533 836590.3311,
818178.6526 836590.1312,
818181.9519 836589.9312,
818184.5513 836590.4311,
818187.1507 836590.931,
818191.2165 836592.7972,
818195.2822 836594.6635,
818199.348 836596.5297,
818202.7972 836598.5793,
