north(m) east(m),
816406.3234 837409.6999,
816409.6904 837413.0669,
816413.4099 837416.33,
816417.1293 837419.5931,
816420.8488 837422.8562,
816424.5682 837426.1192,
816428.2877 837429.3823,
816432.0072 837432.6454,
816435.7266 837435.9085,
816439.4461 837439.1716,
816443.1655 837442.4347,
816446.885 837445.6977,
816450.6044 837448.9608,
816454.3239 837452.2239,
816458.0434 837455.487,
816461.7628 837458.7501,
816465.4823 837462.0132,
816469.2017 837465.2762,
816472.9212 837468.5393,
816476.6407 837471.8024,
816480.3601 837475.0655,
816484.0796 837478.3286,
816487.799 837481.5917,
816491.5185 837484.8548,
816495.238 837488.1178,
816498.9574 837491.3809,
816502.6769 837494.644,
816506.3963 837497.9071,
816510.1158 837501.1702,
816513.8353 837504.4333,
816517.5547 837507.6963,
816521.2742 837510.9594,
816524.9936 837514.2225,
816528.7131 837517.4856,
816532.4325 837520.7487,
816536.152 837524.0118,
816539.8715 837527.2749,
816543.5909 837530.5379,
816547.3104 837533.801,
816551.0298 837537.0641,
816554.7493 837540.3272,
816558.4688 837543.5903,
816562.1882 837546.8534,
816565.9077 837550.1164,
816569.6271 837553.3795,
816573.3466 837556.6426,
816577.0661 837559.9057,
816580.7855 837563.1688,
816584.505 837566.4319,
816588.2244 837569.6949,
816591.9439 837572.958,
816595.6634 837576.2211,
816599.3828 837579.4842,
816603.1023 837582.7473,
816606.8217 837586.0104,
816610.5412 837589.2735,
816614.2606 837592.5365,
816617.9801 837595.7996,
816621.6996 837599.0627,
816625.419 837602.3258,
816629.1385 837605.5889,
816632.8579 837608.852,
816636.5774 837612.115,
816640.2969 837615.3781,
816644.0163 837618.6412,
816647.7358 837621.9043,
816651.4552 837625.1674,
816655.1747 837628.4305,
816658.8942 837631.6936,
816662.6136 837634.9566,
816666.3331 837638.2197,
816670.0525 837641.4828,
816673.772 837644.7459,
816677.4915 837648.009,
816681.2109 837651.2721,
816684.9304 837654.5351,
816688.6498 837657.7982,
816692.3693 837661.0613,
816696.0887 837664.3244,
816699.8082 837667.5875,
816703.5277 837670.8506,
816707.2471 837674.1136,
816710.9666 837677.3767,
816714.686 837680.6398,
816718.4055 837683.9029,
816721.8619 837687.4651,
816725.3183 837691.0272,
816728.7747 837694.5894,
816732.2311 837698.1516,
816735.6875 837701.7137,
816739.1439 837705.2759,
816742.6003 837708.8381,
816746.0567 837712.4002,
816749.5131 837715.9624,
816752.9695 837719.5246,
816756.4259 837723.0867,
816759.8823 837726.6489,
816763.3387 837730.2111,
816766.7951 837733.7732,
816770.2515 837737.3354,
816773.7079 837740.8976,
816777.1643 837744.4597,
816780.6207 837748.0219,
816784.0771 837751.5841,
816787.5335 837755.1462,
816790.99 837758.7084,
816794.4464 837762.2705,
816797.9028 837765.8327,
816801.3592 837769.3949,
816804.8156 837772.957,
816808.272 837776.5192,
816811.7284 837780.0814,
816815.1848 837783.6435,
816818.6412 837787.2057,
816822.0976 837790.7679,
816825.554 837794.33,
816829.0104 837797.8922,
816832.4668 837801.4544,
816835.9232 837805.0165,
816839.3796 837808.5787,
816842.836 837812.1409,
816846.2924 837815.703,
816849.7488 837819.2652,
816853.2052 837822.8274,
816856.6616 837826.3895,
816860.118 837829.9517,
816863.5101 837833.4476,
816866.9021 837836.9434,
816870.2942 837840.4393,
816873.6862 837843.9351,
816877.0783 837847.431,
816880.4704 837850.9269,
816883.8624 837854.4227,
816887.2545 837857.9186,
816890.6465 837861.4144,
816894.0386 837864.9103,
816897.3751 837868.3489,
816900.7116 837871.7875,
816904.0481 837875.2262,
816907.3845 837878.6648,
816910.721 837882.1034,
816914.0575 837885.542,
816917.394 837888.9806,
816920.7305 837892.4193,
816924.067 837895.8579,
816927.4035 837899.2965,
816930.7399 837902.7351,
816934.0764 837906.1737,
816937.4129 837909.6124,
816940.7494 837913.051,
816944.0859 837916.4896,
816947.4224 837919.9282,
816950.7588 837923.3668,
816954.0953 837926.8055,
816957.4318 837930.2441,
816960.7683 837933.6827,
816964.0509 837937.2724,
816967.3334 837940.8621,
816970.616 837944.4518,
816973.8986 837948.0415,
816977.1811 837951.6312,
816980.4637 837955.221,
816983.7463 837958.8107,
816987.0288 837962.4004,
816990.3114 837965.9901,
816993.594 837969.5798,
816996.8765 837973.1695,
817000.1591 837976.7592,
817003.1727 837980.6866,
817006.1862 837984.6141,
817009.1998 837988.5415,
817012.2133 837992.4689,
817015.2269 837996.3963,
817018.2404 838000.3238,
817021.254 838004.2512,
817024.2675 838008.1786,
817027.2811 838012.106,
817030.2946 838016.0335,
817033.3082 838019.9609,
817036.3218 838023.8883,
817039.3353 838027.8158,
817042.3489 838031.7432,
817045.3624 838035.6706,
817048.376 838039.598,
817051.3895 838043.5255,
817054.4031 838047.4529,
817057.4166 838051.3803,
817060.4302 838055.3077,
817063.4437 838059.2352,
817066.4573 838063.1626,
817068.709 838066.9794,
817070.9606 838070.7962,
817073.2123 838074.613,
817075.4639 838078.4298,
817077.7156 838082.2466,
817079.9672 838086.0634,
817082.1966 838090.4805,
817084.426 838094.8976,
817086.6554 838099.3147,
817088.8848 838103.7318,
817091.1141 838108.149,
817093.3435 838112.5661,
817095.5729 838116.9832,
817097.8023 838121.4003,
817100.0317 838125.8174,
817101.5395 838130.5651,
817103.0472 838135.3128,
817104.555 838140.0605,
817106.0628 838144.8082,
817107.5705 838149.5558,
817109.0783 838154.3035,
817110.5861 838159.0512,
817112.0938 838163.7989,
817113.6016 838168.5466,
817114.9687 838172.8515,
817116.3359 838177.1563,
817117.703 838181.4612,
817118.8643 838186.1967,
817120.0255 838190.9322,
817121.1868 838195.6678,
817122.348 838200.4033,
817123.5093 838205.1388,
817124.6706 838209.8743,
817125.8318 838214.6098,
817126.9931 838219.3454,
817128.1543 838224.0809,
817129.3156 838228.8164,
817130.4769 838233.5519,
817131.6381 838238.2874,
817132.7994 838243.023,
817133.9606 838247.7585,
817135.1219 838252.494,
817137.2573 838255.386,
817139.3925 838258.2781,
817141.5278 838261.1701,
817143.0069 838265.6347,
817144.486 838270.0993,
817145.9651 838274.5638,
817147.4442 838279.0284,
817148.9233 838283.493,
817150.4024 838287.9576,
817151.8815 838292.4221,
817153.3606 838296.8867,
817154.8397 838301.3513,
817156.3188 838305.8159,
817157.7979 838310.2804,
817159.277 838314.745,
817160.7662 838319.3198,
817162.2554 838323.8946,
817163.7447 838328.4693,
817165.2339 838333.0441,
817166.7231 838337.6189,
817168.2123 838342.1937,
817169.7016 838346.7684,
817171.1908 838351.3432,
817172.68 838355.918,
817174.1692 838360.4928,
817175.6584 838365.0676,
817177.1477 838369.6423,
817178.6369 838374.2171,
817180.1261 838378.7919,
817181.6153 838383.3667,
817183.1046 838387.9414,
817184.5938 838392.5162,
817186.083 838397.091,
817186.8035 838400.0775,
817187.524 838403.064,
817188.184 838406.867,
817188.844 838410.67,
817189.124 838413.714,
817189.404 838416.758,
817189.459 838419.856,
817189.514 838422.954,
817189.234 838426.8105,
817188.954 838430.667,
817188.459 838434.0245,
817187.964 838437.382,
817187.194 838440.888,
817186.424 838444.394,
817185.5335 838447.1205,
817184.643 838449.847,
817184.643 838449.847,
817183.3498 838453.0557,
817183.4526 838455.7649,
817183.5553 838458.474,
817181.1915 838462.5089,
817178.8276 838466.5437,
817178.8276 838466.5437,
817176.6289 838470.2966,
817174.6025 838472.4874,
817172.576 838474.6782,
817172.576 838474.6782,
817169.096 838478.1736,
817169.096 838478.1736,
817165.8812 838481.4026,
817165.8812 838481.4026,
817163.862 838482.8695,
817163.862 838482.8695,
817161.288 838485.502,
817157.802 838487.4695,
817154.316 838489.437,
817151.212 838490.6963,
