north(m) east(m),
815631.2674 836722.4536,
815627.5471 836723.8667,
815623.3557 836725.1356,
815619.1644 836726.4046,
815614.973 836727.6735,
815614.973 836727.6735,
815610.2433 836728.8271,
815607.4095 836729.3514,
815604.5757 836729.8756,
815604.5757 836729.8756,
815600.021 836730.529,
815600.021 836730.529,
815597.33 836730.788,
815597.33 836730.788,
815593.269 836731.115,
815590.3935 836731.284,
815587.518 836731.453,
815584.637 836731.3995,
815581.756 836731.346,
815577.149 836731.115,
815572.542 836730.884,
815567.935 836730.653,
815563.328 836730.422,
815558.721 836730.191,
815553.8709 836729.8833,
815549.0208 836729.5756,
815544.1707 836729.2679,
815539.3206 836728.9602,
815534.4705 836728.6525,
815529.6204 836728.3448,
815524.7703 836728.0371,
815519.9202 836727.7294,
815515.0701 836727.4217,
815510.22 836727.114,
815505.4359 836726.836,
815500.6518 836726.558,
815495.8677 836726.28,
815491.0836 836726.002,
815486.2995 836725.724,
815481.5154 836725.446,
815476.7313 836725.168,
815471.9472 836724.89,
815467.1631 836724.612,
815462.379 836724.334,
815462.379 836724.334,
815458.068 836724.111,
815455.4675 836724.165,
815452.867 836724.219,
815449.206 836724.165,
815445.545 836724.111,
815441.7875 836723.9255,
815438.03 836723.74,
815438.03 836723.74,
815434.566 836724.202,
815434.566 836724.202,
815431.102 836724.895,
815428.4165 836726.0045,
815425.731 836727.114,
815422.869 836727.185,
815420.007 836727.256,
815415.5118 836727.298,
