north(m) east(m),
816810.5686 839983.6766,
816812.702 839980.0663,
816814.8353 839976.4561,
816816.9686 839972.8458,
816819.5019 839968.8028,
816822.0351 839964.7599,
816824.5684 839960.7169,
816827.1016 839956.6739,
816829.3017 839953.1626,
816831.5018 839949.6514,
816833.7019 839946.1401,
816836.3161 839942.1512,
816838.9303 839938.1622,
816841.5446 839934.1733,
816844.1588 839930.1843,
816846.773 839926.1954,
816849.3872 839922.2065,
816852.0014 839918.2175,
816854.6157 839914.2286,
816857.2299 839910.2396,
816859.8441 839906.2507,
816862.4583 839902.2618,
816865.0725 839898.2728,
816867.6868 839894.2839,
816870.301 839890.2949,
816872.9152 839886.306,
816875.6582 839882.2399,
816878.4012 839878.1737,
816881.1443 839874.1076,
816883.8873 839870.0414,
816886.6303 839865.9753,
816889.3733 839861.9091,
816892.1164 839857.843,
816894.8594 839853.7768,
816897.6024 839849.7107,
816900.3454 839845.6445,
816903.0885 839841.5784,
816905.8315 839837.5122,
816908.5745 839833.4461,
816911.3175 839829.3799,
816914.0606 839825.3138,
816916.8036 839821.2476,
816919.5466 839817.1815,
816921.959 839813.6055,
816924.3714 839810.0295,
816926.7837 839806.4534,
816929.1961 839802.8774,
816931.6085 839799.3014,
816932.4536 839795.0759,
816933.2987 839790.8503,
816936.627 839787.4286,
816939.9553 839784.0069,
816943.2837 839780.5851,
816946.612 839777.1634,
816949.9403 839773.7417,
816952.9869 839769.8913,
816956.0336 839766.0408,
816959.0802 839762.1904,
816962.1269 839758.34,
816965.1735 839754.4895,
816968.2202 839750.6391,
816971.2668 839746.7886,
816974.3134 839742.9382,
816977.3601 839739.0878,
816980.4067 839735.2373,
816983.4534 839731.3869,
816986.5 839727.5365,
816989.5466 839723.686,
816992.5933 839719.8356,
816995.6399 839715.9851,
816998.6866 839712.1347,
817001.7332 839708.2843,
817004.7799 839704.4338,
817007.8265 839700.5834,
817010.8731 839696.733,
817013.9198 839692.8825,
817016.9664 839689.0321,
817020.0131 839685.1816,
